,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
248,12.0,65.0,249.0,26.0,5.0,10.0,16.0,13.0,4.0,40.0
249,12.0,65.0,249.0,26.0,5.0,10.0,16.0,13.0,4.0,40.0
250,9.0,64.0,271.0,35.0,0.0,11.0,10.0,9.0,0.0,27.0
251,9.0,64.0,271.0,35.0,0.0,11.0,10.0,9.0,0.0,27.0
252,40.0,84.0,267.0,43.0,0.0,0.0,11.0,9.0,0.0,13.0
253,40.0,84.0,267.0,43.0,0.0,0.0,11.0,9.0,0.0,13.0
254,24.0,97.0,306.0,47.0,0.0,0.0,11.0,12.0,0.0,11.0
255,24.0,97.0,306.0,47.0,0.0,0.0,11.0,12.0,0.0,11.0
256,26.0,99.0,346.0,9.0,0.0,0.0,20.0,5.0,13.0,19.0
257,26.0,99.0,346.0,9.0,0.0,0.0,20.0,5.0,13.0,19.0
258,31.0,114.0,385.0,0.0,0.0,1.0,21.0,9.0,13.0,26.0
259,31.0,114.0,385.0,0.0,0.0,1.0,21.0,9.0,13.0,26.0
260,9.0,124.0,378.0,8.0,0.0,2.0,32.0,12.0,0.0,39.0
261,9.0,124.0,378.0,8.0,0.0,2.0,32.0,12.0,0.0,39.0
262,22.0,185.0,266.0,10.0,0.0,1.0,61.0,14.0,0.0,62.0
263,22.0,185.0,266.0,10.0,0.0,1.0,61.0,14.0,0.0,62.0
264,52.0,185.0,263.0,19.0,0.0,0.0,89.0,8.0,18.0,76.0
265,52.0,185.0,263.0,19.0,0.0,0.0,89.0,8.0,18.0,76.0
266,82.0,85.0,283.0,52.0,0.0,2.0,89.0,9.0,18.0,135.0
267,82.0,85.0,283.0,52.0,0.0,2.0,89.0,9.0,18.0,135.0
268,111.0,112.0,293.0,45.0,13.0,3.0,43.0,26.0,0.0,99.0
269,111.0,112.0,293.0,45.0,13.0,3.0,43.0,26.0,0.0,99.0
270,73.0,157.0,296.0,41.0,9.0,1.0,68.0,23.0,17.0,106.0
271,73.0,157.0,296.0,41.0,9.0,1.0,68.0,23.0,17.0,106.0
272,36.0,136.0,307.0,31.0,6.0,2.0,70.0,4.0,18.0,66.0
273,36.0,136.0,307.0,31.0,6.0,2.0,70.0,4.0,18.0,66.0
274,38.0,102.0,293.0,13.0,31.0,3.0,70.0,11.0,27.0,66.0
275,38.0,102.0,293.0,13.0,31.0,3.0,70.0,11.0,27.0,66.0
276,21.0,104.0,285.0,9.0,32.0,6.0,70.0,12.0,27.0,84.0
277,21.0,104.0,285.0,9.0,32.0,6.0,70.0,12.0,27.0,84.0
278,19.0,68.0,328.0,6.0,39.0,7.0,36.0,12.0,23.0,77.0
279,19.0,68.0,328.0,6.0,39.0,7.0,36.0,12.0,23.0,77.0
280,27.0,67.0,272.0,8.0,33.0,8.0,38.0,14.0,27.0,71.0
281,27.0,67.0,272.0,8.0,33.0,8.0,38.0,14.0,27.0,71.0
282,46.0,70.0,448.0,14.0,25.0,4.0,36.0,14.0,39.0,67.0
283,46.0,70.0,448.0,14.0,25.0,4.0,36.0,14.0,39.0,67.0
284,54.0,67.0,390.0,21.0,25.0,1.0,33.0,16.0,45.0,54.0
285,54.0,67.0,390.0,21.0,25.0,1.0,33.0,16.0,45.0,54.0
286,51.0,68.0,347.0,25.0,23.0,2.0,70.0,16.0,52.0,58.0
287,51.0,68.0,347.0,25.0,23.0,2.0,70.0,16.0,52.0,58.0
288,51.0,68.0,347.0,25.0,23.0,2.0,70.0,16.0,52.0,58.0
289,61.0,86.0,399.0,25.0,27.0,3.0,59.0,22.0,45.0,71.0
290,83.0,87.0,474.0,32.0,24.0,2.0,56.0,20.0,49.0,69.0
291,83.0,87.0,474.0,32.0,24.0,2.0,56.0,20.0,49.0,69.0
292,84.0,96.0,321.0,46.0,25.0,1.0,86.0,20.0,43.0,72.0
293,84.0,96.0,321.0,46.0,25.0,1.0,86.0,20.0,43.0,72.0
294,79.0,106.0,231.0,43.0,29.0,2.0,81.0,18.0,47.0,91.0
295,79.0,106.0,231.0,43.0,29.0,2.0,81.0,18.0,47.0,91.0
296,74.0,115.0,145.0,31.0,36.0,3.0,78.0,20.0,64.0,104.0
297,74.0,115.0,145.0,31.0,36.0,3.0,78.0,20.0,64.0,104.0
298,72.0,123.0,157.0,31.0,27.0,2.0,101.0,16.0,62.0,111.0
299,72.0,123.0,157.0,31.0,27.0,2.0,101.0,16.0,62.0,111.0
300,59.0,122.0,156.0,31.0,26.0,2.0,104.0,14.0,29.0,123.0
