,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
313,2418.0,4400.0,239.0,3878.0,2.0,681.0,3188.0
314,2392.0,4399.0,242.0,3753.0,2.0,676.0,3187.0
315,2355.0,4397.0,244.0,3624.0,2.0,663.0,3220.0
316,2386.0,4398.0,242.0,3558.0,2.0,656.0,3252.0
317,2414.0,4396.0,237.0,3550.0,2.0,655.0,3225.0
318,2387.0,4398.0,239.0,3574.0,2.0,652.0,3243.0
319,2358.0,4398.0,243.0,3481.0,2.0,649.0,3294.0
320,2331.0,4397.0,243.0,3413.0,2.0,654.0,3303.0
321,2320.0,4397.0,240.0,3376.0,2.0,644.0,3261.0
322,2313.0,4398.0,238.0,3324.0,2.0,632.0,3244.0
323,2233.0,4397.0,241.0,3310.0,2.0,614.0,3317.0
324,2173.0,4396.0,240.0,3297.0,2.0,602.0,3370.0
325,2127.0,4396.0,241.0,3225.0,2.0,594.0,3412.0
326,2122.0,4395.0,240.0,3265.0,2.0,541.0,3398.0
327,2148.0,4398.0,239.0,3377.0,2.0,535.0,3249.0
328,2150.0,4396.0,235.0,3385.0,2.0,502.0,3097.0
329,2148.0,4397.0,239.0,3460.0,2.0,518.0,2998.0
330,2148.0,4398.0,244.0,3498.0,2.0,549.0,2958.0
331,2149.0,4399.0,242.0,3425.0,2.0,588.0,2947.0
332,2141.0,4395.0,243.0,3307.0,2.0,610.0,2893.0
333,2122.0,4397.0,240.0,3225.0,2.0,622.0,2905.0
334,2118.0,4397.0,241.0,3199.0,2.0,629.0,2835.0
335,2139.0,4398.0,242.0,3180.0,2.0,592.0,2681.0
336,2142.0,4399.0,238.0,3144.0,2.0,607.0,2507.0
337,2127.0,4395.0,232.0,3112.0,2.0,630.0,2380.0
338,2126.0,4399.0,236.0,3092.0,2.0,550.0,2338.0
339,2129.0,4397.0,237.0,3099.0,2.0,549.0,2385.0
340,2127.0,4396.0,240.0,3186.0,2.0,511.0,2310.0
341,2123.0,4397.0,237.0,3297.0,2.0,464.0,2444.0
342,2095.0,4395.0,239.0,3270.0,2.0,394.0,2426.0
343,2055.0,4396.0,239.0,3261.0,2.0,381.0,2390.0
344,2018.0,4396.0,236.0,3247.0,2.0,447.0,2323.0
345,1855.0,4395.0,238.0,3515.0,2.0,544.0,2488.0
346,1821.0,4396.0,239.0,3580.0,2.0,568.0,2527.0
347,1790.0,4397.0,241.0,3502.0,2.0,598.0,2497.0
348,1757.0,4397.0,241.0,3380.0,2.0,589.0,2545.0
349,1643.0,4397.0,240.0,3253.0,2.0,579.0,2613.0
350,1553.0,4396.0,241.0,3179.0,2.0,576.0,2693.0
351,1543.0,4398.0,243.0,3166.0,2.0,580.0,2687.0
352,1559.0,4398.0,241.0,3128.0,2.0,580.0,2689.0
353,1560.0,4398.0,242.0,3248.0,2.0,575.0,2611.0
354,1567.0,4399.0,242.0,3293.0,2.0,570.0,2596.0
355,1596.0,4394.0,242.0,3318.0,2.0,562.0,2553.0
356,1623.0,4397.0,241.0,3297.0,2.0,558.0,2585.0
357,1617.0,4397.0,241.0,3280.0,2.0,556.0,2640.0
358,1591.0,4396.0,237.0,3194.0,2.0,549.0,2700.0
359,1608.0,4396.0,239.0,3122.0,2.0,547.0,2707.0
360,1606.0,4397.0,244.0,3079.0,2.0,554.0,2710.0
361,1613.0,4396.0,242.0,3055.0,2.0,549.0,2692.0
362,1616.0,4396.0,240.0,3101.0,2.0,536.0,2633.0
363,1615.0,4395.0,239.0,3152.0,2.0,521.0,2624.0
364,1612.0,4396.0,241.0,3154.0,2.0,511.0,2636.0
365,1589.0,4397.0,239.0,3092.0,2.0,503.0,2673.0
366,1587.0,4397.0,240.0,3024.0,2.0,498.0,2677.0
367,1585.0,4394.0,239.0,3033.0,2.0,494.0,2688.0
