,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
773,19.0,43.0,13.0
774,25.0,47.0,16.0
775,25.0,47.0,16.0
776,47.0,53.0,13.0
777,47.0,53.0,13.0
778,44.0,50.0,14.0
779,44.0,50.0,14.0
780,39.0,28.0,15.0
781,39.0,28.0,15.0
782,43.0,31.0,5.0
783,43.0,31.0,5.0
784,41.0,36.0,10.0
785,41.0,36.0,10.0
786,49.0,37.0,11.0
787,49.0,37.0,11.0
788,63.0,38.0,5.0
789,63.0,38.0,5.0
790,66.0,38.0,6.0
791,66.0,38.0,6.0
792,87.0,56.0,5.0
793,87.0,56.0,5.0
794,82.0,54.0,3.0
795,82.0,54.0,3.0
796,69.0,56.0,7.0
797,69.0,56.0,7.0
798,39.0,61.0,9.0
799,39.0,61.0,9.0
800,51.0,76.0,10.0
801,51.0,76.0,10.0
802,33.0,69.0,7.0
803,33.0,69.0,7.0
804,15.0,25.0,6.0
805,15.0,25.0,6.0
806,12.0,20.0,10.0
807,12.0,20.0,10.0
808,12.0,26.0,13.0
809,12.0,26.0,13.0
810,23.0,37.0,16.0
811,23.0,37.0,16.0
812,15.0,52.0,20.0
813,15.0,52.0,20.0
814,12.0,50.0,21.0
815,12.0,50.0,21.0
816,26.0,76.0,20.0
817,26.0,76.0,20.0
818,20.0,84.0,10.0
819,20.0,84.0,10.0
820,18.0,87.0,5.0
821,18.0,87.0,5.0
822,2.0,89.0,7.0
823,2.0,89.0,7.0
824,6.0,48.0,7.0
825,6.0,48.0,7.0
826,23.0,15.0,0.0
827,23.0,15.0,0.0
828,6.0,23.0,9.0
829,6.0,23.0,9.0
830,14.0,28.0,9.0
831,14.0,28.0,9.0
832,14.0,0.0,0.0
833,14.0,0.0,0.0
834,14.0,12.0,0.0
835,14.0,12.0,0.0
836,0.0,12.0,10.0
837,0.0,12.0,10.0
838,8.0,18.0,10.0
839,8.0,18.0,10.0
840,9.0,29.0,0.0
841,9.0,29.0,0.0
842,9.0,29.0,0.0
843,9.0,29.0,0.0
844,0.0,19.0,0.0
845,0.0,19.0,0.0
846,17.0,19.0,0.0
847,17.0,19.0,0.0
848,14.0,8.0,6.0
849,14.0,8.0,6.0
850,20.0,12.0,11.0
851,20.0,12.0,11.0
852,28.0,19.0,15.0
853,28.0,19.0,15.0
854,26.0,19.0,8.0
855,26.0,19.0,8.0
856,26.0,14.0,8.0
857,26.0,14.0,8.0
858,47.0,14.0,11.0
859,47.0,14.0,11.0
860,66.0,16.0,9.0
861,66.0,16.0,9.0
862,90.0,17.0,9.0
863,90.0,17.0,9.0
864,78.0,24.0,12.0
865,78.0,24.0,12.0
866,85.0,36.0,12.0
867,85.0,36.0,12.0
868,103.0,30.0,7.0
869,103.0,30.0,7.0
870,106.0,22.0,7.0
871,106.0,22.0,7.0
872,142.0,19.0,12.0
873,142.0,19.0,12.0
874,119.0,18.0,14.0
875,119.0,18.0,14.0
876,102.0,20.0,17.0
877,102.0,20.0,17.0
878,113.0,23.0,8.0
879,113.0,23.0,8.0
880,115.0,26.0,10.0
881,115.0,26.0,10.0
882,105.0,29.0,16.0
883,105.0,29.0,16.0
884,63.0,33.0,12.0
885,63.0,33.0,12.0
886,54.0,32.0,4.0
887,54.0,32.0,4.0
888,50.0,30.0,7.0
889,50.0,30.0,7.0
890,30.0,35.0,10.0
891,30.0,35.0,10.0
892,21.0,38.0,12.0
893,21.0,38.0,12.0
894,40.0,38.0,7.0
895,40.0,38.0,7.0
896,49.0,34.0,7.0
897,49.0,34.0,7.0
898,50.0,51.0,16.0
899,50.0,51.0,16.0
900,48.0,68.0,18.0
