,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
970,17.0,67.0
971,12.0,18.0
972,24.0,95.0
973,10.0,16.0
974,10.0,23.0
975,11.0,16.0
976,9.0,20.0
977,19.0,33.0
978,71.0,119.0
979,39.0,68.0
980,13.0,20.0
981,9.0,33.0
982,53.0,122.0
983,12.0,29.0
984,15.0,28.0
985,14.0,26.0
986,19.0,18.0
987,16.0,40.0
988,91.0,170.0
989,75.0,148.0
990,18.0,32.0
991,26.0,60.0
992,20.0,37.0
993,66.0,109.0
994,64.0,109.0
995,14.0,35.0
996,26.0,69.0
997,15.0,34.0
998,11.0,32.0
999,14.0,36.0
