,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
123,814.9683,1502.8784,1896.664,497.873,2464.963,6613.716,827.6124,22158.819700000004,1413.9574,2988.088,1282.9061,1855.1931
124,820.2339,1496.5586,1927.6113,484.1077,2469.5676,6621.631,828.277,22187.1902,1407.4673,2989.2056,1295.0702,1847.46
125,814.9752,1496.5503,1912.568,481.0751,2461.7063,6633.4453,820.4419,22154.2193,1411.55,2984.6572,1295.2339,1842.0161
126,807.8184,1496.2738,1905.6763,470.4844,2442.4797,6624.428,830.0282,22097.7696,1412.7504,2962.3115,1308.2242,1837.2947
127,807.8184,1496.2738,1905.6763,470.4844,2442.4797,6624.428,830.0282,22097.7696,1412.7504,2962.3115,1308.2242,1837.2947
128,823.6321,1483.3972,1878.2845,475.6515,2393.0312,6626.6274,841.4144,22005.563700000002,1396.8516,2942.5059,1305.2714,1838.8965
129,801.2866,1484.8234,1920.9497,474.0807,2407.1,6606.9756,863.0012,21981.6816,1381.0326,2938.7324,1273.549,1830.1504
130,804.1269,1498.4274,1877.4839,467.9329,2405.5708,6610.069,839.6326,21935.2301,1370.8289,2927.8433,1301.0715,1832.2429
131,805.243,1495.3015,1875.8119,474.8627,2425.1838,6569.9077,854.3978,21908.735099999998,1378.1893,2927.2446,1277.127,1825.4658
132,809.8657,1482.4789,1888.2616,466.441,2379.35,6584.9595,858.1401,21885.529200000004,1383.466,2926.946,1281.5208,1824.0996
133,809.8657,1482.4789,1888.2616,466.441,2379.35,6584.9595,858.1401,21885.529200000004,1383.466,2926.946,1281.5208,1824.0996
134,807.4493,1474.8192,1896.6082,476.3679,2401.917,6550.703,841.2889,21832.851499999997,1372.708,2907.0347,1287.6836,1816.2717
135,803.0905,1451.8896,1877.501,475.5472,2414.7354,6536.5684,839.8637,21761.2779,1369.2603,2893.4805,1289.3445,1809.9968
136,803.0905,1451.8896,1877.501,475.5472,2414.7354,6536.5684,839.8637,21761.2779,1369.2603,2893.4805,1289.3445,1809.9968
137,799.8546,1453.7578,1889.3586,470.6898,2348.348,6541.0137,867.7061,21670.8183,1363.8334,2880.7861,1253.5322,1801.938
138,799.2987,1461.1614,1890.0969,460.4311,2371.926,6565.975,839.0761,21725.685199999996,1364.9656,2878.125,1289.9832,1804.6462
139,808.4863,1414.6444,1875.6901,474.024,2364.6929,6522.9097,846.5528,21616.9442,1371.2407,2859.3066,1283.2004,1796.1963
140,799.27,1445.5837,1879.2399,475.9929,2378.5537,6478.798,841.4651,21597.246400000004,1366.2189,2849.8413,1286.5308,1795.7521
141,796.963,1441.2938,1852.5762,468.688,2333.7131,6506.2236,859.7777,21535.975199999997,1356.0264,2852.3276,1272.7115,1795.6743
142,804.8347,1438.3009,1878.551,462.8815,2363.625,6479.9243,853.1011,21546.8207,1364.0199,2843.603,1266.261,1791.7183
143,788.5529,1443.4589,1873.2362,480.0442,2360.5535,6478.4844,845.4337,21519.5753,1346.3976,2839.5386,1277.0757,1786.7996
144,783.1785,1431.773,1859.5007,474.8068,2371.2588,6461.085,847.3745,21442.268300000003,1347.9392,2824.1519,1267.103,1774.0969
145,795.2919,1432.8323,1890.5637,458.8942,2363.9673,6479.249,839.3004,21471.439399999996,1344.4751,2818.4468,1274.344,1774.0747
146,795.3453,1428.7604,1886.2156,463.7688,2312.1833,6466.8926,836.7293,21371.8562,1340.0565,2807.3818,1265.7261,1768.7965
147,790.4233,1428.2378,1860.9281,465.1951,2330.8843,6449.865,844.7,21338.269400000005,1334.3618,2800.6006,1260.3274,1772.746
148,790.0798,1424.59,1872.7164,462.2898,2319.8179,6443.631,836.5701,21294.874600000003,1339.7867,2783.8147,1264.22,1757.3582
149,790.0798,1424.59,1872.7164,462.2898,2319.8179,6443.631,836.5701,21294.874600000003,1339.7867,2783.8147,1264.22,1757.3582
150,784.7424,1423.3506,1855.6465,449.1364,2319.5103,6434.2803,849.522,21201.682699999998,1326.0186,2771.6792,1248.817,1738.9794
151,788.9721,1405.6843,1860.2817,451.3583,2316.8616,6432.445,832.7672,21153.587399999997,1319.4364,2755.9263,1250.9448,1738.9097
152,780.7539,1414.355,1857.5782,448.6695,2322.6958,6407.2935,844.4804,21124.088999999996,1315.4702,2744.5647,1251.4082,1736.8196
153,779.3046,1413.6508,1842.1964,440.1204,2321.9517,6423.983,841.9222,21102.8079,1313.1802,2745.2593,1242.3926,1738.8467
154,786.8626,1373.2,1827.3242,468.5688,2255.8203,6377.036,834.8528,20939.9166,1309.168,2731.0723,1247.0409,1728.9707
155,782.5933,1395.2058,1835.3223,449.2251,2266.9946,6375.6465,831.3144,20925.4722,1305.6365,2715.478,1244.9468,1723.1089
